rank,status,BACKTEST_START_DATE,BACKTEST_END_DATE,BACKTEST_MIN_STOCK_HOLDING,BACKTEST_LONG_QUANTILE,BACKTEST_SHORT_QUANTILE,BACKTEST_INCLUDE_ALPHA_BUCKET,ROLLING_WINDOW,INSUFFICIENT_DATA_THRESHOLD,FULL_SAMPLE_FALLBACK_MAX,ALPHA_TRAILING_WINDOW,P_VALUE_THRESHOLD,SMB_STABILITY_THRESHOLD,HML_STABILITY_THRESHOLD,FACTOR_COLUMNS,score,Strategy Ann. Return,Benchmark (EW) Ann. Return,Benchmark (VW) Ann. Return,Strategy Sharpe,Benchmark (EW) Sharpe,Benchmark (VW) Sharpe,Information Ratio (vs EW),Information Ratio (vs VW),Strategy Max Drawdown,Monthly Hit Rate (vs EW),Return Months,Rebalance Years,search_batch_time
3269,completed,2015-01-01,2025-12-31,60,0.3,0,True,48,48,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw, cma",8.075833,12.03%,11.56%,13.10%,0.78,0.77,0.86,0.19,-0.33,-25.28%,55.83%,120,10,2026-06-04 20:55:38
3270,completed,2015-01-01,2025-12-31,80,0.3,0,True,48,48,48,60.0,0.05,2.0,1.0,"mkt_rf, smb, hml, cma",8.075833,11.92%,11.58%,13.19%,0.79,0.77,0.86,0.11,-0.48,-24.32%,55.83%,120,10,2026-06-04 20:55:38
3271,completed,2015-01-01,2025-12-31,70,0.3,0,True,48,48,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw, cma",8.075833,12.03%,11.56%,13.10%,0.78,0.77,0.86,0.19,-0.33,-25.28%,55.83%,120,10,2026-06-04 20:55:38
3272,completed,2010-01-01,2025-12-31,60,0.3,0,True,36,36,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, cma, mom",8.075,11.94%,11.06%,12.52%,0.82,0.78,0.88,0.33,-0.17,-29.22%,56.67%,180,15,2026-06-04 20:55:38
3273,completed,2010-01-01,2025-12-31,60,0.3,0,True,36,36,48,36.0,0.05,1.0,1.5,"mkt_rf, smb, hml, cma",8.075,11.50%,11.06%,12.52%,0.82,0.78,0.88,0.16,-0.41,-25.80%,54.44%,180,15,2026-06-04 20:55:38
3274,completed,2010-01-01,2025-12-31,80,0.3,0,True,48,48,48,60.0,0.05,1.5,2.0,"mkt_rf, smb, hml, cma, mom",8.075,11.53%,11.11%,12.58%,0.83,0.78,0.88,0.11,-0.38,-25.79%,52.22%,180,15,2026-06-04 20:55:38
3275,completed,2010-01-01,2025-12-31,70,0.3,0,True,36,36,48,36.0,0.05,1.0,1.5,"mkt_rf, smb, hml, cma",8.075,11.50%,11.06%,12.52%,0.82,0.78,0.88,0.16,-0.41,-25.80%,54.44%,180,15,2026-06-04 20:55:38
3276,completed,2010-01-01,2025-12-31,80,0.3,0,False,36,36,48,120.0,0.05,1.5,1.0,"mkt_rf, smb, hml",8.075,11.47%,11.11%,12.58%,0.82,0.78,0.88,0.11,-0.37,-25.34%,48.33%,180,15,2026-06-04 20:55:38
3277,completed,2010-01-01,2025-12-31,70,0.3,0,True,48,48,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw",8.075,11.32%,11.06%,12.52%,0.79,0.78,0.88,0.11,-0.42,-24.35%,51.67%,180,15,2026-06-04 20:55:38
3278,completed,2010-01-01,2025-12-31,70,0.1,0,True,36,36,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw, cma, mom",8.075,11.85%,11.06%,12.52%,0.81,0.78,0.88,0.33,-0.19,-28.56%,56.11%,180,15,2026-06-04 20:55:38
3279,completed,2010-01-01,2025-12-31,70,0.3,0,True,36,36,48,60.0,0.05,2.0,2.0,"mkt_rf, smb, hml, cma, mom",8.075,11.94%,11.06%,12.52%,0.82,0.78,0.88,0.33,-0.17,-29.22%,56.67%,180,15,2026-06-04 20:55:38
3280,completed,2010-01-01,2025-12-31,60,0.1,0,True,36,36,48,36.0,0.05,2.0,1.5,"mkt_rf, smb, hml, rmw, cma, mom",8.075,11.85%,11.06%,12.52%,0.81,0.78,0.88,0.33,-0.19,-28.56%,56.11%,180,15,2026-06-04 20:55:38
3281,completed,2010-01-01,2025-12-31,60,0.3,0,True,48,48,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw",8.075,11.32%,11.06%,12.52%,0.79,0.78,0.88,0.11,-0.42,-24.35%,51.67%,180,15,2026-06-04 20:55:38
3282,completed,2015-01-01,2025-12-31,60,0.1,0,True,48,48,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",8.073333,12.58%,11.56%,13.10%,0.82,0.77,0.86,0.27,-0.13,-29.42%,58.33%,120,10,2026-06-04 20:55:38
3283,completed,2015-01-01,2025-12-31,70,0.1,0,True,48,48,48,36.0,0.05,1.5,2.0,"mkt_rf, smb, hml, rmw, cma, mom",8.073333,12.58%,11.56%,13.10%,0.82,0.77,0.86,0.27,-0.13,-29.42%,58.33%,120,10,2026-06-04 20:55:38
3284,completed,2010-01-01,2025-12-31,70,0.3,0,True,36,36,48,120.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw",8.0725,11.53%,11.06%,12.52%,0.82,0.78,0.88,0.20,-0.40,-26.10%,53.89%,180,15,2026-06-04 20:55:38
3285,completed,2010-01-01,2025-12-31,60,0.3,0,True,36,36,48,120.0,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw",8.0725,11.53%,11.06%,12.52%,0.82,0.78,0.88,0.20,-0.40,-26.10%,53.89%,180,15,2026-06-04 20:55:38
3286,completed,2015-01-01,2025-12-31,70,0.1,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",8.070833,12.24%,11.56%,13.10%,0.83,0.77,0.86,0.14,-0.25,-26.82%,50.83%,120,10,2026-06-04 20:55:38
3287,completed,2015-01-01,2025-12-31,60,0.1,0,False,36,36,48,120.0,0.05,1.5,1.5,"mkt_rf, smb, hml",8.070833,12.24%,11.56%,13.10%,0.83,0.77,0.86,0.14,-0.25,-26.82%,50.83%,120,10,2026-06-04 20:55:38
3288,completed,2010-01-01,2025-12-31,80,0.2,0,False,36,36,48,36.0,0.05,1.0,1.5,"mkt_rf, smb, hml, rmw, mom",8.07,11.69%,11.11%,12.58%,0.82,0.78,0.88,0.22,-0.30,-27.12%,50.56%,180,15,2026-06-04 20:55:38
3289,completed,2010-01-01,2025-12-31,60,0.2,0,True,36,36,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw, mom",8.07,11.48%,11.06%,12.52%,0.79,0.78,0.88,0.22,-0.30,-25.71%,54.44%,180,15,2026-06-04 20:55:38
3290,completed,2010-01-01,2025-12-31,80,0.1,0,False,48,48,48,60.0,0.05,2.0,1.0,"mkt_rf, smb, hml, rmw",8.07,11.56%,11.11%,12.58%,0.80,0.78,0.88,0.14,-0.28,-25.99%,52.78%,180,15,2026-06-04 20:55:38
3291,completed,2010-01-01,2025-12-31,80,0.2,0,False,36,36,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw, cma, mom",8.07,11.34%,11.11%,12.58%,0.78,0.78,0.88,0.12,-0.36,-24.35%,49.44%,180,15,2026-06-04 20:55:38
3292,completed,2010-01-01,2025-12-31,80,0.3,0,False,36,36,48,,0.05,1.0,2.0,"mkt_rf, smb, hml, rmw",8.07,11.53%,11.11%,12.58%,0.82,0.78,0.88,0.17,-0.40,-25.90%,50.56%,180,15,2026-06-04 20:55:38
3293,completed,2010-01-01,2025-12-31,70,0.2,0,True,36,36,48,36.0,0.05,2.0,2.0,"mkt_rf, smb, hml, rmw, mom",8.07,11.48%,11.06%,12.52%,0.79,0.78,0.88,0.22,-0.30,-25.71%,54.44%,180,15,2026-06-04 20:55:38
3294,completed,2015-01-01,2025-12-31,60,0.3,0,False,36,36,48,,0.05,1.0,1.5,"mkt_rf, smb, hml, rmw, mom",8.068333,12.20%,11.56%,13.10%,0.81,0.77,0.86,0.27,-0.32,-26.75%,53.33%,120,10,2026-06-04 20:55:38
