signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2021-01-29,2021-01-29,2021-02-26,2021-02-26,2021-01-29,2021-02-26,0.02470076779637412,-0.048287218190268086,-0.023586450393893964,0.0,14,14,4,1.0175044615786073,1.0,-0.023586450393893964
2021-02-26,2021-02-26,2021-03-31,2021-03-31,2021-02-26,2021-03-31,0.014237860693006348,-0.030046043082205005,-0.015808182389198656,0.0,13,13,4,1.0014195654681493,1.0,-0.015808182389198656
2021-03-31,2021-03-31,2021-04-30,2021-04-30,2021-03-31,2021-04-30,0.062345588899863,-0.03867580382603232,0.023669785073830676,0.0,14,14,4,1.0251229513515094,1.0,0.023669785073830676
2021-04-30,2021-04-30,2021-05-28,2021-05-28,2021-04-30,2021-05-28,-0.004728409366065575,-0.013134924235548377,-0.01786333360161395,0.0,14,14,4,1.0068108380888463,1.0,-0.01786333360161395
2021-05-28,2021-05-28,2021-06-30,2021-06-30,2021-05-28,2021-06-30,0.03803262258308307,-0.021684110521942867,0.016348512061140203,0.0,13,13,4,1.0232706972186285,1.0,0.016348512061140203
2021-06-30,2021-06-30,2021-07-30,2021-07-30,2021-06-30,2021-07-30,0.025727394956158733,-8.977161921547641e-07,0.02572649723996658,0.0,14,14,4,1.0495958679863624,1.0,0.02572649723996658
2021-07-30,2021-07-30,2021-08-31,2021-08-31,2021-07-30,2021-08-31,0.029778523921552398,-0.016805236194491365,0.012973287727061033,0.0,14,14,4,1.0632125771788838,1.0,0.012973287727061033
2021-08-31,2021-08-31,2021-09-30,2021-09-30,2021-08-31,2021-09-30,-0.04885019459204285,0.017416700930995906,-0.031433493661046946,0.0,13,13,4,1.029792091373786,1.0,-0.031433493661046946
2021-09-30,2021-09-30,2021-10-29,2021-10-29,2021-09-30,2021-10-29,0.06778335914331336,-0.060894246375383244,0.006889112767930118,0.0,13,13,4,1.0368864452187825,1.0,0.006889112767930118
2021-10-29,2021-10-29,2021-11-30,2021-11-30,2021-10-29,2021-11-30,-0.02723963226843203,0.03671758181656727,0.009477949548135241,0.0,13,13,4,1.0467140026337114,1.0,0.009477949548135241
2021-11-30,2021-11-30,2021-12-31,2021-12-31,2021-11-30,2021-12-31,0.02971989192236634,-0.04584554050936132,-0.01612564858699498,0.0,13,13,4,1.0298350604561533,1.0,-0.01612564858699498
2021-12-31,2021-12-31,2022-01-31,2022-01-31,2021-12-31,2022-01-31,-0.08203038957090342,0.02428049255367476,-0.05774989701722866,0.0,13,13,4,0.970362191770079,1.0,-0.05774989701722866
2022-01-31,2022-01-31,2022-02-28,2022-02-28,2022-01-31,2022-02-28,-0.020884401537765693,0.007141168587039112,-0.013743232950726582,0.0,13,13,4,0.9570262781220052,1.0,-0.013743232950726582
2022-02-28,2022-02-28,2022-03-31,2022-03-31,2022-02-28,2022-03-31,0.026789897877185345,-0.023342727211024872,0.0034471706661604734,0.0,13,13,4,0.9603253110346922,1.0,0.0034471706661604734
2022-03-31,2022-03-31,2022-04-29,2022-04-29,2022-03-31,2022-04-29,-0.08811096618814886,0.05557004764063037,-0.032540918547518484,0.0,13,13,4,0.9290754433091919,1.0,-0.032540918547518484
2022-04-29,2022-04-29,2022-05-31,2022-05-31,2022-04-29,2022-05-31,-0.014837684100382874,-0.008880265277468064,-0.02371794937785094,0.0,13,13,4,0.90703967897658,1.0,-0.02371794937785094
2022-05-31,2022-05-31,2022-06-30,2022-06-30,2022-05-31,2022-06-30,-0.07804402392363519,0.07146702526815879,-0.006576998655476396,0.0,14,14,4,0.9010740802274873,1.0,-0.006576998655476396
2022-06-30,2022-06-30,2022-07-29,2022-07-29,2022-06-30,2022-07-29,0.08973703068571368,-0.08420933378980705,0.005527696895906625,0.0,14,14,4,0.9060549446237426,1.0,0.005527696895906625
2022-07-29,2022-07-29,2022-08-31,2022-08-31,2022-07-29,2022-08-31,-0.032896720007161734,0.024620039568395882,-0.008276680438765852,0.0,13,13,4,0.8985558173871282,1.0,-0.008276680438765852
2022-08-31,2022-08-31,2022-09-30,2022-09-30,2022-08-31,2022-09-30,-0.09772097075447828,0.08471632560121264,-0.013004645153265632,0.0,13,13,4,0.886870417831606,1.0,-0.013004645153265632
2022-09-30,2022-09-30,2022-10-31,2022-10-31,2022-09-30,2022-10-31,0.04855089450927936,-0.08416085079866074,-0.035609956289381385,0.0,13,13,4,0.8552890010182772,1.0,-0.035609956289381385
2022-10-31,2022-10-31,2022-11-30,2022-11-30,2022-10-31,2022-11-30,0.04715296573682087,-0.056281439390814925,-0.009128473653994051,0.0,13,13,4,0.847481517905931,1.0,-0.009128473653994051
2022-11-30,2022-11-30,2022-12-30,2022-12-30,2022-11-30,2022-12-30,-0.04311000006398295,0.05184742591596553,0.008737425851982575,0.0,13,13,4,0.8548863248295596,1.0,0.008737425851982575
2022-12-30,2022-12-30,2023-01-31,2023-01-31,2022-12-30,2023-01-31,0.05047983853438241,-0.07937948297927297,-0.028899644444890557,0.0,13,13,4,0.8301804140011861,1.0,-0.028899644444890557
