signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2012-09-28,2012-10-12,2012-10-26,2012-11-02,2012-09-28,2012-11-02,0.010511329189813736,-0.00023092426883519822,0.010280404920978538,0.0011283602901136724,36,36,3,1.1089254059174956,0.73614644385638,0.009152044630864865
2012-10-26,2012-11-02,2012-11-30,2012-12-07,2012-10-26,2012-12-07,-0.053981681403544736,0.05402376542815108,4.208402460634253e-05,-0.020283114826974428,36,36,3,1.1089720739615647,0.7212151010061721,0.02032519885158077
2012-11-30,2012-12-07,2012-12-28,2013-01-04,2012-11-30,2013-01-04,0.08599299311293167,-0.09118413177057239,-0.005191138657640718,0.09927630715507667,36,36,3,1.1032152461581788,0.7928146728985405,-0.10446744581271739
2012-12-28,2013-01-04,2013-01-25,2013-02-01,2012-12-28,2013-02-01,0.08097802936246132,-0.07021216155122767,0.010765867811233648,0.0698245036114042,38,38,4,1.1150923156656554,0.8481725638895189,-0.05905863580017055
2013-01-25,2013-02-01,2013-02-22,2013-03-01,2013-01-25,2013-03-01,0.018997102661425003,-0.004162772946371706,0.014834329715053298,-0.02105503341909101,38,38,4,1.131633962738962,0.830314262211669,0.03588936313414431
2013-02-22,2013-03-01,2013-03-29,2013-04-03,2013-02-22,2013-04-03,-0.035968716823465356,0.05593100054728286,0.019962283723817503,-0.05497928738421534,38,38,4,1.1542239609746652,0.784664175770321,0.07494157110803285
2013-03-29,2013-04-03,2013-04-26,2013-05-03,2013-03-29,2013-05-03,0.05175475221200216,-0.029901711543767823,0.021853040668234337,0.0037320704395822804,39,39,4,1.179447264134095,0.7875925977457126,0.018120970228652056
2013-04-26,2013-05-03,2013-05-31,2013-06-07,2013-04-26,2013-06-07,0.02279289750065005,-0.020186565711303665,0.0026063317893463833,-0.0021902997206344477,39,39,4,1.1825212950324653,0.7858675338988964,0.004796631509980831
2013-05-31,2013-06-07,2013-06-28,2013-07-05,2013-05-31,2013-07-05,-0.01094294767880032,0.04350674402883021,0.032563796350029886,-0.08247295600074125,40,40,4,1.221028677663476,0.7210547153532417,0.11503675235077114
2013-06-28,2013-07-05,2013-07-26,2013-08-02,2013-06-28,2013-08-02,0.04134718184933388,-0.02291608558838657,0.018431096260947306,0.007588533041003798,40,40,4,1.2435335747588687,0.7265264628850713,0.010842563219943507
2013-07-26,2013-08-02,2013-08-30,2013-09-06,2013-07-26,2013-09-06,0.04484474727240267,-0.02048746358161384,0.024357283690788826,0.039616735574422274,41,41,4,1.2738226748182913,0.7553090696530095,-0.015259451883633448
2013-08-30,2013-09-06,2013-09-30,2013-10-11,2013-08-30,2013-10-11,0.040589034267740735,-0.02693959479408913,0.013649439473651607,0.03787561055298952,43,43,4,1.2912096403183886,0.7839168618223278,-0.024226171079337912
2013-09-30,2013-10-11,2013-10-25,2013-11-01,2013-09-30,2013-11-01,-0.05517629957033843,0.04378344822627347,-0.01139285134406496,-0.026884717834242088,42,42,4,1.2764990808322176,0.76284147818673,0.015491866490177128
2013-10-25,2013-11-01,2013-11-29,2013-12-06,2013-10-25,2013-12-06,0.019037916785563897,-0.016183432642547353,0.002854484143016544,0.023011572381526735,42,42,4,1.2801428272170283,0.7803956600776548,-0.02015708823851019
2013-11-29,2013-12-06,2013-12-27,2014-01-03,2013-11-29,2014-01-03,0.006790331448675013,0.026645674527404267,0.03343600597607928,-0.0520428925476812,42,42,4,1.3229456904380918,0.7397816125955566,0.08547889852376048
2013-12-27,2014-01-03,2014-01-30,2014-02-07,2013-12-27,2014-02-07,0.026566921070524822,-0.01117248452035162,0.015394436550173203,-0.027258500318756918,43,43,4,1.3433116939288663,0.7196162752728101,0.042652936868930125
