signal_date,trade_date,next_signal_date,exit_date,rebalance_date,holding_end_date,long_return,short_return,strategy_return,benchmark_return,long_count,short_count,style_count,strategy_cumulative,benchmark_cumulative,excess_return
2012-02-24,2012-03-02,2012-03-30,2012-04-06,2012-02-24,2012-04-06,-0.04361460472317123,0.04190708084612272,-0.0017075238770485127,-0.047137093052075696,33,33,4,1.1005098543219718,0.7838570243412366,0.04542956917502718
2012-03-30,2012-04-06,2012-04-27,2012-05-04,2012-03-30,2012-05-04,0.05384027931771163,-0.051994754827230386,0.001845524490481247,0.0625585195545384,33,33,4,1.1025408722101389,0.8328939593264502,-0.06071299506405715
2012-04-27,2012-05-04,2012-05-25,2012-06-01,2012-04-27,2012-06-01,-0.013543591009283568,0.011111328625242303,-0.002432262384041265,-0.02374318526935104,33,33,4,1.099859203519794,0.813118403740439,0.021310922885309776
2012-05-25,2012-06-01,2012-06-29,2012-07-06,2012-05-25,2012-07-06,-0.016229909407479266,0.015798366733201577,-0.0004315426742776893,-0.048104195452848386,35,35,4,1.0993845673377782,0.7740039971206009,0.0476726527785707
2012-06-29,2012-07-06,2012-07-27,2012-08-03,2012-06-29,2012-08-03,-0.04462188131443949,0.04192747528605649,-0.0026944060283830007,-0.03788957021858208,36,36,4,1.096422378932032,0.7446773183222366,0.03519516419019908
2012-07-27,2012-08-03,2012-08-31,2012-09-07,2012-07-27,2012-09-07,-0.0004951688481789583,-0.002090983073701506,-0.0025861519218804644,-0.011557096878667905,36,36,4,1.093586864089564,0.73607101041104,0.00897094495678744
2012-08-31,2012-09-07,2012-09-28,2012-10-12,2012-08-31,2012-10-12,-0.01372031069272745,0.017339069472932456,0.003618758780205006,-0.003536330930091869,36,36,4,1.097544291155905,0.7334680197301794,0.007155089710296875
2012-09-28,2012-10-12,2012-10-26,2012-11-02,2012-09-28,2012-11-02,0.014429103453336775,-0.0029213720852263323,0.011507731368110442,0.0012333288657810915,37,37,4,1.1101745360231303,0.7343726270110399,0.01027440250232935
2012-10-26,2012-11-02,2012-11-30,2012-12-07,2012-10-26,2012-12-07,-0.030979604357480605,0.045901360502468125,0.01492175614498752,-0.02005971433939102,37,37,4,1.126740289728042,0.7196413218945302,0.03498147048437854
2012-11-30,2012-12-07,2012-12-28,2013-01-04,2012-11-30,2013-01-04,0.09868798935008866,-0.09969949626140164,-0.0010115069113129788,0.09850746064221383,37,37,4,1.1256005841377272,0.7905313610875664,-0.09951896755352681
