基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
长信睿进灵活配置混合型证券投资基金,长信睿进混合A,519957,混合型-灵活,2015年06月17日,2015年07月06日 / 3.086亿份,0.01亿元（截止至：2025年12月31日）,0.0117亿份（截止至：2025年12月31日）,长信基金,广发证券,张思韡,每份累计0.00元（0次）,1.20%（每年）,0.15%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的,,,0.01,2015-07-06
长信多利灵活配置混合型证券投资基金,长信多利混合A,519959,混合型-灵活,2015年06月15日,2015年07月01日 / 14.728亿份,0.89亿元（截止至：2025年12月31日）,0.4765亿份（截止至：2025年12月31日）,长信基金,交通银行,刘亮,每份累计0.21元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中债综合指数收益率*40%+沪深300指数收益率*50%+恒生指数收益率(使用估值汇率折算)*10%,该基金无跟踪标的,,,0.89,2015-07-01
长信量化多策略股票型证券投资基金,长信量化多策略股票A,519965,股票型,2015年06月23日,2015年07月14日 / 6.485亿份,1.34亿元（截止至：2025年12月31日）,1.0492亿份（截止至：2025年12月31日）,长信基金,工商银行,左金保,每份累计0.56元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,该基金无跟踪标的,,,1.34,2015-07-14
长信改革红利灵活配置混合型证券投资基金,长信改革红利混合,519971,混合型-灵活,2014年07月08日,2014年08月06日 / 6.160亿份,0.23亿元（截止至：2025年12月31日）,0.1311亿份（截止至：2025年12月31日）,长信基金,工商银行,张子乔,每份累计0.40元（4次）,0.90%（每年）,0.10%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的,,,0.23,2014-08-06
长信量化中小盘股票型证券投资基金,长信量化中小盘股票A,519975,股票型,2015年01月12日,2015年02月04日 / 8.693亿份,2.12亿元（截止至：2025年12月31日）,1.1405亿份（截止至：2025年12月31日）,长信基金,交通银行,左金保,每份累计0.40元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证700指数收益率*75%+中证综合债券指数收益率*25%,该基金无跟踪标的,,,2.12,2015-02-04
长信内需成长混合型证券投资基金,长信内需成长混合A,519979,混合型-偏股,2011年09月05日,2011年10月20日 / 3.554亿份,3.02亿元（截止至：2025年12月31日）,1.6862亿份（截止至：2025年12月31日）,长信基金,农业银行,许望伟,每份累计1.52元（8次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中债综合指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%,该基金无跟踪标的,,,3.02,2011-10-20
长信量化先锋混合型证券投资基金,长信量化先锋混合A,519983,混合型-偏股,2010年10月11日,2010年11月18日 / 3.247亿份,5.80亿元（截止至：2025年12月31日）,2.9658亿份（截止至：2025年12月31日）,长信基金,交通银行,左金保,每份累计0.85元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*75%+中证综合债券指数收益率*25%,该基金无跟踪标的,,,5.8,2010-11-18
长信双利优选混合型证券投资基金,长信双利优选混合A,519990,混合型-偏股,2008年04月23日,2008年06月19日 / 5.110亿份,0.76亿元（截止至：2025年12月31日）,0.4382亿份（截止至：2025年12月31日）,长信基金,农业银行,祝昱丰,每份累计1.05元（11次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证800指数收益率*60%+中证综合债券指数收益率*20%+恒生指数收益率(使用估值汇率折算)*20%,该基金无跟踪标的,,,0.76,2008-06-19
长信增利动态策略混合型证券投资基金,长信增利动态策略混合,519992,混合型-偏股,2006年09月18日,2006年11月09日 / 5.806亿份,2.98亿元（截止至：2025年12月31日）,3.0177亿份（截止至：2025年12月31日）,长信基金,民生银行,张子乔,每份累计1.98元（16次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×70% + 上证国债指数收益率×30%,该基金无跟踪标的,,,2.98,2006-11-09
长信金利趋势混合型证券投资基金,长信金利趋势混合A,519994,混合型-偏股,2006年03月27日,2006年04月30日 / 6.133亿份,42.47亿元（截止至：2025年12月31日）,73.2646亿份（截止至：2025年12月31日）,长信基金,浦发银行,高远,每份累计1.16元（11次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,中证800指数收益率*80%+中债综合指数收益率*20%,该基金无跟踪标的,1.50%（前端）,1.50%（前端）,42.47,2006-04-30
长信银利精选混合型证券投资基金,长信银利精选混合A,519996,混合型-偏股,2004年12月01日,2005年01月17日 / 11.825亿份,2.92亿元（截止至：2025年12月31日）,2.7172亿份（截止至：2025年12月31日）,长信基金,农业银行,许望伟,每份累计2.92元（13次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数收益率*80%+中债综合指数收益率*20%,该基金无跟踪标的,,,2.92,2005-01-17
建信恒久价值混合型证券投资基金,建信恒久价值混合,530001,混合型-偏股,2005年11月07日,2005年12月01日 / 62.019亿份,8.68亿元（截止至：2025年12月31日）,7.8977亿份（截止至：2025年12月31日）,建信基金,中信银行,蒋严泽,每份累计1.44元（15次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×MSCI中国A股指数+20%×中债综合指数(全价)+ 5%×1年定期存款利率,该基金无跟踪标的,,,8.68,2005-12-01
建信优选成长混合型证券投资基金,建信优选成长混合A,530003,混合型-偏股,2006年08月08日,2006年09月08日 / 61.147亿份,12.66亿元（截止至：2025年12月31日）,4.953亿份（截止至：2025年12月31日）,建信基金,工商银行,姚锦,每份累计1.95元（5次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×富时中国A600成长指数+20%×中国债券总指数+5%×1年定期存款利率,该基金无跟踪标的,,,12.66,2006-09-08
建信优化配置混合型证券投资基金,建信优化配置混合A,530005,混合型-灵活,2007年02月26日,2007年03月01日 / 96.587亿份,13.26亿元（截止至：2025年12月31日）,8.2721亿份（截止至：2025年12月31日）,建信基金,工商银行,刘克飞,每份累计1.10元（6次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,富时中国A600指数*60%+中国债券总指数*40%,该基金无跟踪标的,,,13.26,2007-03-01
建信核心精选混合型证券投资基金,建信核心精选混合,530006,混合型-偏股,2008年10月20日,2008年11月25日 / 5.102亿份,3.36亿元（截止至：2025年12月31日）,1.2597亿份（截止至：2025年12月31日）,建信基金,工商银行,王东杰,每份累计1.40元（12次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,75%×沪深300指数+25%*中国债券总指数,该基金无跟踪标的,,,3.36,2008-11-25
建信内生动力混合型证券投资基金,建信内生动力混合A,530011,混合型-偏股,2010年10月20日,2010年11月16日 / 53.882亿份,1.45亿元（截止至：2025年12月31日）,1.0349亿份（截止至：2025年12月31日）,建信基金,工商银行,杨荔媛,每份累计1.24元（12次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*75%+中国债券总指数收益率*25%,该基金无跟踪标的,,,1.45,2010-11-16
