基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
中欧嘉和三年持有期混合型证券投资基金,中欧嘉和三年混合C,009211,混合型-偏股,2020年05月11日,2020年05月28日 / 13.578亿份,0.57亿元（截止至：2025年12月31日）,0.5033亿份（截止至：2025年12月31日）,中欧基金,招商银行,王健,每份累计0.06元（1次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中证800指数收益率*70%+恒生指数收益率*10%+银行活期存款利率(税后)*20%,该基金无跟踪标的,0.00%（前端）,0.00%（前端）,0.57,2020-05-28
易方达瑞川灵活配置混合型发起式证券投资基金,易方达瑞川混合A,009215,混合型-灵活,2020年04月07日,2020年04月22日 / 3.711亿份,0.51亿元（截止至：2025年12月31日）,0.3784亿份（截止至：2025年12月31日）,易方达基金,民生银行,温泉,每份累计0.05元（1次）,0.60%（每年）,0.10%（每年）,0.00%（每年）,0.60%（前端）,中债新综合指数(财富)收益率×60%+沪深300指数收益率×40%,该基金无跟踪标的,,,0.51,2020-04-22
易方达瑞川灵活配置混合型发起式证券投资基金,易方达瑞川混合C,009216,混合型-灵活,2020年04月07日,2020年04月22日 / 3.711亿份,0.29亿元（截止至：2025年12月31日）,0.2141亿份（截止至：2025年12月31日）,易方达基金,民生银行,温泉,每份累计0.05元（1次）,0.60%（每年）,0.10%（每年）,0.20%（每年）,0.00%（前端）,中债新综合指数(财富)收益率×60%+沪深300指数收益率×40%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.29,2020-04-22
博时荣丰回报灵活配置混合型证券投资基金,博时荣丰回报灵活配置混合A,009217,混合型-灵活,2020年04月20日,2020年05月07日 / 3.131亿份,0.86亿元（截止至：2025年12月31日）,0.5996亿份（截止至：2025年12月31日）,博时基金,建设银行,黄继晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*50%+恒生综合指数收益率*10%+中债综合财富(总值)指数收益率*40%,该基金无跟踪标的,,,0.86,2020-05-07
博时荣丰回报灵活配置混合型证券投资基金,博时荣丰回报灵活配置混合C,009218,混合型-灵活,2020年04月20日,2020年05月07日 / 3.131亿份,0.09亿元（截止至：2025年12月31日）,0.067亿份（截止至：2025年12月31日）,博时基金,建设银行,黄继晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,沪深300指数收益率*50%+恒生综合指数收益率*10%+中债综合财富(总值)指数收益率*40%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.09,2020-05-07
宝盈现代服务业混合型证券投资基金,宝盈现代服务业混合A,009223,混合型-偏股,2020年07月13日,2020年07月17日 / 24.594亿份,2.38亿元（截止至：2025年12月31日）,2.1747亿份（截止至：2025年12月31日）,宝盈基金,交通银行,姚艺,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证服务业指数收益率×70%+中证港股通综合指数(人民币)收益率×10%+中证综合债券指数收益率×20%,该基金无跟踪标的,,,2.38,2020-07-17
宝盈现代服务业混合型证券投资基金,宝盈现代服务业混合C,009224,混合型-偏股,2020年07月13日,2020年07月17日 / 24.594亿份,1.56亿元（截止至：2025年12月31日）,1.4661亿份（截止至：2025年12月31日）,宝盈基金,交通银行,姚艺,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,中证服务业指数收益率×70%+中证港股通综合指数(人民币)收益率×10%+中证综合债券指数收益率×20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.56,2020-07-17
鹏华优质企业混合型证券投资基金,鹏华优质企业混合A,009234,混合型-偏股,2020年05月18日,2020年06月11日 / 17.600亿份,2.13亿元（截止至：2025年12月31日）,1.8988亿份（截止至：2025年12月31日）,鹏华基金,交通银行,柳黎,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*30%,该基金无跟踪标的,,,2.13,2020-06-11
泰康蓝筹优势一年持有期股票型证券投资基金,泰康蓝筹优势一年持有股票,009240,股票型,2020年07月29日,2020年08月14日 / 8.774亿份,2.14亿元（截止至：2025年12月31日）,2.1602亿份（截止至：2025年12月31日）,泰康基金,工商银行,桂跃强,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率×75%+恒生指数收益率×10%+中债新综合全价(总值)指数收益率×15%,该基金无跟踪标的,,,2.14,2020-08-14
融通领先成长混合型证券投资基金(LOF),融通领先成长混合(LOF)C,009241,混合型-偏股,2007年05月11日,2020年04月01日 / --,0.02亿元（截止至：2025年12月31日）,0.0103亿份（截止至：2025年12月31日）,融通基金,建设银行,何龙,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数收益率×80%+中债综合全价(总值)指数收益率×20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.02,2020-04-01
中加核心智造混合型证券投资基金,中加核心智造混合A,009242,混合型-偏股,2020年06月22日,2020年07月22日 / 2.866亿份,0.21亿元（截止至：2025年12月31日）,0.0983亿份（截止至：2025年12月31日）,中加基金,渤海银行,张一然、于成琨,每份累计0.06元（1次）,1.20%（每年）,0.10%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证500指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+1年期定期存款利率(税后)*20%,该基金无跟踪标的,,,0.21,2020-07-22
中加核心智造混合型证券投资基金,中加核心智造混合C,009243,混合型-偏股,2020年06月22日,2020年07月22日 / 2.866亿份,0.44亿元（截止至：2025年12月31日）,0.207亿份（截止至：2025年12月31日）,中加基金,渤海银行,张一然、于成琨,每份累计0.06元（1次）,1.20%（每年）,0.10%（每年）,0.40%（每年）,0.00%（前端）,中证500指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+1年期定期存款利率(税后)*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.44,2020-07-22
摩根士丹利ESG量化先行混合型证券投资基金,大摩ESG量化混合A,009246,混合型-偏股,2020年06月22日,2020年07月16日 / 22.258亿份,2.64亿元（截止至：2025年12月31日）,2.3696亿份（截止至：2025年12月31日）,摩根士丹利基金,建设银行,余斌,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证中财沪深100ESG领先指数收益率*80%+中证综合债券指数收益率*20%,该基金无跟踪标的,,,2.64,2020-07-16
西部利得景瑞灵活配置混合型证券投资基金,西部利得景瑞灵活配置混合C,009258,混合型-灵活,2016年08月22日,2020年04月07日 / --,3.11亿元（截止至：2025年12月31日）,0.8776亿份（截止至：2025年12月31日）,西部利得基金,民生银行,张昌平,每份累计0.00元（0次）,0.60%（每年）,0.15%（每年）,0.40%（每年）,'---（前端）,沪深300指数收益率*50%+中证全债指数收益率*50%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,3.11,2020-04-07
华宝红利精选混合型证券投资基金,华宝红利精选混合A,009263,混合型-偏股,2020年05月11日,2020年06月03日 / 4.585亿份,1.01亿元（截止至：2025年12月31日）,0.7236亿份（截止至：2025年12月31日）,华宝基金,中国银行,唐雪倩,每份累计0.20元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证红利指数收益率×75%+中证综合债指数收益率×20%+恒生指数收益率×5%,该基金无跟踪标的,,,1.01,2020-06-03
泓德瑞兴三年持有期混合型证券投资基金,泓德瑞兴三年持有期混合,009264,混合型-偏股,2020年07月09日,2020年07月14日 / 59.421亿份,21.99亿元（截止至：2025年12月31日）,19.0482亿份（截止至：2025年12月31日）,泓德基金,招商银行,王克玉,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证800指数收益率×70%+中证港股通综合指数收益率×10%+中国债券综合全价指数收益率×20%,该基金无跟踪标的,,,21.99,2020-07-14
易方达消费精选股票型证券投资基金,易方达消费精选股票,009265,股票型,2020年04月08日,2020年04月13日 / 79.147亿份,38.96亿元（截止至：2025年12月31日）,41.9501亿份（截止至：2025年12月31日）,易方达基金,建设银行,萧楠,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证内地消费主题指数收益率*50%+中证香港300消费指数收益率*35%+中债总指数收益率*15%,该基金无跟踪标的,,,38.96,2020-04-13
融通逆向策略灵活配置混合型证券投资基金,融通逆向策略灵活配置混合C,009270,混合型-灵活,2018年01月04日,2020年05月13日 / --,0.00亿元（截止至：2025年12月31日）,0.0024亿份（截止至：2025年12月31日）,融通基金,工商银行,刘安坤,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数收益率×50%+中债综合全价(总值)指数收益率×50%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.0,2020-05-13
融通中国风1号灵活配置混合型证券投资基金,融通中国风1号灵活配置混合C,009273,混合型-灵活,2016年01月14日,2020年04月13日 / --,0.07亿元（截止至：2025年12月31日）,0.029亿份（截止至：2025年12月31日）,融通基金,工商银行,万民远、程越楷,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,50%×沪深300指数收益率+50%×中债综合全价(总值)指数收益率,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.07,2020-04-13
融通健康产业灵活配置混合型证券投资基金,融通健康产业灵活配置混合C,009274,混合型-灵活,2014年12月10日,2020年04月13日 / --,5.80亿元（截止至：2025年12月31日）,2.2755亿份（截止至：2025年12月31日）,融通基金,工商银行,万民远,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,申万医药生物行业指数收益率×70%+中债综合(全价)指数收益率×30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,5.8,2020-04-13
融通医疗保健行业混合型证券投资基金,融通医疗保健行业混合C,009275,混合型-偏股,2012年06月25日,2020年04月13日 / --,0.77亿元（截止至：2025年12月31日）,0.4884亿份（截止至：2025年12月31日）,融通基金,工商银行,万民远、刘曦阳,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,申万医药生物行业指数收益率×80%+中债综合全价(总值)指数收益率×20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.77,2020-04-13
融通行业景气证券投资基金,融通行业景气混合C,009277,混合型-灵活,2004年03月24日,2020年05月13日 / --,1.70亿元（截止至：2025年12月31日）,0.7845亿份（截止至：2025年12月31日）,融通基金,交通银行,李进,每份累计0.03元（6次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,'---（前端）,沪深300指数收益率×70%+中债综合全价(总值)指数收益率×30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.7,2020-05-13
新疆前海联合价值优选混合型证券投资基金,前海联合价值优选混合A,009312,混合型-偏股,2020年06月17日,2020年07月07日 / 24.746亿份,0.68亿元（截止至：2025年12月31日）,0.6125亿份（截止至：2025年12月31日）,前海联合,兴业银行,张永任,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×70%+中债综合全价指数收益率×30%,该基金无跟踪标的,,,0.68,2020-07-07
新疆前海联合价值优选混合型证券投资基金,前海联合价值优选混合C,009313,混合型-偏股,2020年06月17日,2020年07月07日 / 24.746亿份,0.76亿元（截止至：2025年12月31日）,0.6987亿份（截止至：2025年12月31日）,前海联合,兴业银行,张永任,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,沪深300指数收益率×70%+中债综合全价指数收益率×30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.76,2020-07-07
广发双擎升级混合型证券投资基金,广发双擎升级混合C,009314,混合型-偏股,2018年09月25日,2020年06月17日 / --,4.11亿元（截止至：2025年12月31日）,1.654亿份（截止至：2025年12月31日）,广发基金,工商银行,刘格菘,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,'---（前端）,75%×沪深300指数收益率+25%×中证全债指数收益率,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,4.11,2020-06-17
金信核心竞争力灵活配置混合型证券投资基金,金信核心竞争力混合A,009317,混合型-灵活,2020年05月06日,2020年05月09日 / 2.007亿份,0.08亿元（截止至：2025年12月31日）,0.0735亿份（截止至：2025年12月31日）,金信基金,浦发银行,谭佳俊,每份累计1.40元（3次）,1.20%（每年）,0.10%（每年）,0.00%（每年）,1.00%（前端） 天天基金优惠费率：0.10%（前端）,沪深300指数收益率*50%+中证综合债指数收益率*50%,该基金无跟踪标的,,,0.08,2020-05-09
南方成长先锋混合型证券投资基金,南方成长先锋混合A,009318,混合型-偏股,2020年06月08日,2020年06月12日 / 321.153亿份,40.29亿元（截止至：2025年12月31日）,42.9156亿份（截止至：2025年12月31日）,南方基金,交通银行,王博,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证500成长指数收益率*60%+中证港股通综合指数(人民币)收益率*10%+上证国债指数收益率*30%,该基金无跟踪标的,,,40.29,2020-06-12
南方成长先锋混合型证券投资基金,南方成长先锋混合C,009319,混合型-偏股,2020年06月08日,2020年06月12日 / 321.153亿份,7.58亿元（截止至：2025年12月31日）,8.3496亿份（截止至：2025年12月31日）,南方基金,交通银行,王博,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,中证500成长指数收益率*60%+中证港股通综合指数(人民币)收益率*10%+上证国债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,7.58,2020-06-12
广发稳健增长开放式证券投资基金,广发稳健增长混合C,009326,混合型-平衡,2004年06月21日,2020年05月20日 / --,1.33亿元（截止至：2025年12月31日）,0.8124亿份（截止至：2025年12月31日）,广发基金,工商银行,周智硕,每份累计0.10元（1次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,'---（前端）,沪深300指数收益率×65%+中证全债指数收益率×35%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.33,2020-05-20
东兴兴晟混合型证券投资基金,东兴兴晟混合A,009327,混合型-偏股,2020年07月15日,2020年08月05日 / 3.850亿份,0.18亿元（截止至：2025年12月31日）,0.1253亿份（截止至：2025年12月31日）,东兴基金,浙商银行,李晨辉、李兵伟,每份累计0.00元（0次）,1.00%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率×60%+中债综合指数收益率×40%,该基金无跟踪标的,,,0.18,2020-08-05
东兴兴晟混合型证券投资基金,东兴兴晟混合C,009328,混合型-偏股,2020年07月15日,2020年08月05日 / 3.850亿份,0.10亿元（截止至：2025年12月31日）,0.0675亿份（截止至：2025年12月31日）,东兴基金,浙商银行,李晨辉、李兵伟,每份累计0.00元（0次）,1.00%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,沪深300指数收益率×60%+中债综合指数收益率×40%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.1,2020-08-05
鹏华成长价值混合型证券投资基金,鹏华成长价值混合A,009330,混合型-偏股,2020年04月27日,2020年05月18日 / 59.838亿份,4.94亿元（截止至：2025年12月31日）,4.9731亿份（截止至：2025年12月31日）,鹏华基金,建设银行,梁超,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率×60%+恒生指数收益率×10%(经汇率估值调整)+中证综合债指数收益率×30%,该基金无跟踪标的,,,4.94,2020-05-18
鹏华成长价值混合型证券投资基金,鹏华成长价值混合C,009331,混合型-偏股,2020年04月27日,2020年05月18日 / 59.838亿份,1.80亿元（截止至：2025年12月31日）,1.8979亿份（截止至：2025年12月31日）,鹏华基金,建设银行,梁超,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中证800指数收益率×60%+恒生指数收益率×10%(经汇率估值调整)+中证综合债指数收益率×30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.8,2020-05-18
富国融享18个月定期开放混合型证券投资基金,富国融享18个月定开混合A,009334,混合型-偏股,2020年05月06日,2020年05月25日 / 4.758亿份,1.23亿元（截止至：2025年12月31日）,0.8399亿份（截止至：2025年12月31日）,富国基金,招商银行,孙彬,每份累计0.27元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证800指数收益率*50%+恒生指数收益率(使用估值汇率折算)*15%+中债综合全价指数收益率*35%,该基金无跟踪标的,,,1.23,2020-05-25
易方达均衡成长股票型证券投资基金,易方达均衡成长股票,009341,股票型,2020年05月20日,2020年05月22日 / 269.666亿份,44.19亿元（截止至：2025年12月31日）,29.1058亿份（截止至：2025年12月31日）,易方达基金,中国银行,陈皓,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证500指数收益率×65%+中证港股通综合指数收益率×20%+中债总指数收益率×15%,该基金无跟踪标的,,,44.19,2020-05-22
易方达优质企业三年持有期混合型证券投资基金,易方达优质企业三年持有期混合,009342,混合型-偏股,2020年06月15日,2020年06月17日 / 79.112亿份,25.85亿元（截止至：2025年12月31日）,26.6909亿份（截止至：2025年12月31日）,易方达基金,招商银行,张坤,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×45%+中证港股通综合指数收益率×35%+中债总指数收益率×20%,该基金无跟踪标的,,,25.85,2020-06-17
国联价值成长6个月持有期混合型证券投资基金,国联价值成长6个月持有混合A,009347,混合型-偏股,2020年07月17日,2020年08月05日 / 19.112亿份,0.90亿元（截止至：2025年12月31日）,1.0521亿份（截止至：2025年12月31日）,国联基金,工商银行,梁勤之,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率×65%+恒生指数收益率×10%+中债综合指数收益率×25%,该基金无跟踪标的,,,0.9,2020-08-05
国联价值成长6个月持有期混合型证券投资基金,国联价值成长6个月持有混合C,009348,混合型-偏股,2020年07月17日,2020年08月05日 / 19.112亿份,0.13亿元（截止至：2025年12月31日）,0.1545亿份（截止至：2025年12月31日）,国联基金,工商银行,梁勤之,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,沪深300指数收益率×65%+恒生指数收益率×10%+中债综合指数收益率×25%,该基金无跟踪标的,0.00%（前端）,0.00%（前端）,0.13,2020-08-05
浙商科技创新一个月滚动持有混合型证券投资基金,浙商科创一个月滚动持有混合A,009353,混合型-偏股,2020年08月31日,2020年09月29日 / 2.341亿份,0.38亿元（截止至：2025年12月31日）,0.2626亿份（截止至：2025年12月31日）,浙商基金,交通银行,成子浩、佘江科,每份累计0.07元（3次）,1.20%（每年）,0.10%（每年）,0.00%（每年）,0.60%（前端） 天天基金优惠费率：0.06%（前端）,65%×中国战略新兴产业成份指数收益率+30%×中债综合财富(总值)指数收益率+5%×中证港股通综合指数收益率,该基金无跟踪标的,,,0.38,2020-09-29
浙商科技创新一个月滚动持有混合型证券投资基金,浙商科创一个月滚动持有混合C,009354,混合型-偏股,2020年08月31日,2020年09月29日 / 2.341亿份,0.27亿元（截止至：2025年12月31日）,0.1867亿份（截止至：2025年12月31日）,浙商基金,交通银行,成子浩、佘江科,每份累计0.07元（2次）,1.20%（每年）,0.10%（每年）,0.20%（每年）,0.00%（前端）,65%×中国战略新兴产业成份指数收益率+30%×中债综合财富(总值)指数收益率+5%×中证港股通综合指数收益率,该基金无跟踪标的,0.00%（前端）,0.00%（前端）,0.27,2020-09-29
招商创新增长混合型证券投资基金,招商创新增长混合A,009360,混合型-偏股,2020年05月18日,2020年06月17日 / 44.323亿份,3.73亿元（截止至：2025年12月31日）,4.7087亿份（截止至：2025年12月31日）,招商基金,中国银行,李佳存,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中证全债指数收益率*30%,该基金无跟踪标的,,,3.73,2020-06-17
招商创新增长混合型证券投资基金,招商创新增长混合C,009361,混合型-偏股,2020年05月18日,2020年06月17日 / 44.323亿份,0.54亿元（截止至：2025年12月31日）,0.72亿份（截止至：2025年12月31日）,招商基金,中国银行,李佳存,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中证全债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.54,2020-06-17
招商丰盈积极配置混合型证券投资基金,招商丰盈积极配置混合A,009362,混合型-偏股,2020年07月16日,2020年07月29日 / 82.470亿份,7.17亿元（截止至：2025年12月31日）,10.0786亿份（截止至：2025年12月31日）,招商基金,中国银行,郭锐、文仲阳,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,0.80%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中证全债指数收益率*30%,该基金无跟踪标的,,,7.17,2020-07-29
招商丰盈积极配置混合型证券投资基金,招商丰盈积极配置混合C,009363,混合型-偏股,2020年07月16日,2020年07月29日 / 82.470亿份,1.99亿元（截止至：2025年12月31日）,2.9202亿份（截止至：2025年12月31日）,招商基金,中国银行,郭锐、文仲阳,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*10%+中证全债指数收益率*30%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,1.99,2020-07-29
工银瑞信科技创新6个月定期开放混合型证券投资基金,工银科技创新6个月定开混合A,009364,混合型-偏股,2020年05月07日,2020年05月20日 / 9.909亿份,1.21亿元（截止至：2025年12月31日）,0.8274亿份（截止至：2025年12月31日）,工银瑞信基金,中国银行,夏雨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,70%×中国战略新兴产业成份指数收益率+5%×恒生指数收益率+25%×中债综合财富(总值)指数收益率,该基金无跟踪标的,,,1.21,2020-05-20
工银瑞信科技创新6个月定期开放混合型证券投资基金,工银科技创新6个月定开混合C,009365,混合型-偏股,2020年05月07日,2020年05月20日 / 9.909亿份,0.23亿元（截止至：2025年12月31日）,0.1615亿份（截止至：2025年12月31日）,工银瑞信基金,中国银行,夏雨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,70%×中国战略新兴产业成份指数收益率+5%×恒生指数收益率+25%×中债综合财富(总值)指数收益率,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.23,2020-05-20
浦银安盛科技创新一年持有期混合型证券投资基金,浦银安盛科技创新一年持有混合A,009366,混合型-偏股,2020年09月11日,2020年12月14日 / 2.749亿份,0.58亿元（截止至：2025年12月31日）,0.4407亿份（截止至：2025年12月31日）,浦银安盛基金,交通银行,李浩玄,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中国战略新兴产业成份指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,该基金无跟踪标的,,,0.58,2020-12-14
浦银安盛科技创新一年持有期混合型证券投资基金,浦银安盛科技创新一年持有混合C,009367,混合型-偏股,2020年09月11日,2020年12月14日 / 2.749亿份,0.04亿元（截止至：2025年12月31日）,0.0299亿份（截止至：2025年12月31日）,浦银安盛基金,交通银行,李浩玄,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中国战略新兴产业成份指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,该基金无跟踪标的,0.00%（前端）,0.50%（前端）,0.04,2020-12-14
浦银安盛价值精选混合型证券投资基金,浦银安盛价值精选混合A,009368,混合型-偏股,2020年06月15日,2020年07月22日 / 21.501亿份,1.41亿元（截止至：2025年12月31日）,1.4615亿份（截止至：2025年12月31日）,浦银安盛基金,交通银行,陈晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率×70%+恒生指数收益率(使用估值汇率折算)×10%+中证全债指数收益率×20%,该基金无跟踪标的,,,1.41,2020-07-22
浦银安盛价值精选混合型证券投资基金,浦银安盛价值精选混合C,009369,混合型-偏股,2020年06月15日,2020年07月22日 / 21.501亿份,0.27亿元（截止至：2025年12月31日）,0.2805亿份（截止至：2025年12月31日）,浦银安盛基金,交通银行,陈晨,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,沪深300指数收益率×70%+恒生指数收益率(使用估值汇率折算)×10%+中证全债指数收益率×20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.27,2020-07-22
景顺长城成长领航混合型证券投资基金,景顺长城成长领航混合,009376,混合型-偏股,2020年05月25日,2020年05月28日 / 49.447亿份,9.57亿元（截止至：2025年12月31日）,5.9012亿份（截止至：2025年12月31日）,景顺长城基金,招商银行,杨锐文,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证800指数收益率×50%+恒生指数收益率(使用估值汇率折算)×30%+中证全债指数收益率×20%,该基金无跟踪标的,,,9.57,2020-05-28
中银成长优选股票型证券投资基金,中银成长优选股票A,009379,股票型,2021年03月08日,2021年03月23日 / 3.088亿份,0.86亿元（截止至：2025年12月31日）,0.7403亿份（截止至：2025年12月31日）,中银基金,邮储银行,周斌,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证500指数收益率*90%+中债综合全价(总值)指数收益率*10%,该基金无跟踪标的,,,0.86,2021-03-23
富安达科技领航混合型证券投资基金,富安达科技领航混合A,009380,混合型-偏股,2020年05月18日,2020年06月17日 / 6.887亿份,0.49亿元（截止至：2025年12月31日）,0.7491亿份（截止至：2025年12月31日）,富安达基金,交通银行,杨红,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,中证科技100指数收益率*75%+上证国债指数收益率*25%,该基金无跟踪标的,,,0.49,2020-06-17
汇安核心资产混合型证券投资基金,汇安核心资产混合A,009381,混合型-偏股,2020年05月25日,2020年06月16日 / 23.764亿份,2.29亿元（截止至：2025年12月31日）,2.9193亿份（截止至：2025年12月31日）,汇安基金,光大银行,陆丰、王明路,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的,,,2.29,2020-06-16
汇安核心资产混合型证券投资基金,汇安核心资产混合C,009382,混合型-偏股,2020年05月25日,2020年06月16日 / 23.764亿份,0.04亿元（截止至：2025年12月31日）,0.0585亿份（截止至：2025年12月31日）,汇安基金,光大银行,陆丰、王明路,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,沪深300指数收益率*80%+中证全债指数收益率*20%,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,0.04,2020-06-16
